season,gameDate,gameID,period,eventOrder,teamName,playerId,playerName,gameTime,eventText,eventType,eventSubType,homeScore,homeTeam,awayScore,awayTeam,x,y,eventMinute,eventSecond,Possesion,HomeEmpty,AwayEmpty,HomeFieldPlayers,AwayFieldPlayers
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,1,THW Kiel,5217611d-3953-11ef-888e-a9530db97767,Niklas Landin Jacobsen,0:00,Torwartwechsel,goalKeeperChange,NA,0,THW Kiel,0,MT Melsungen,NA,NA,0,0,0,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,2,MT Melsungen,50f3aae7-3953-11ef-989a-a9530db97767,Johan Sjöstrand,0:00,Torwartwechsel,goalKeeperChange,NA,0,THW Kiel,0,MT Melsungen,NA,NA,0,0,0,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,3,THW Kiel,73376a94-3954-11ef-b05a-bdf3bafad9bd,Miha Zarabec,0:39,Tor aus der Nahwurfzone,goal,sixMetre,1,THW Kiel,0,MT Melsungen,NA,NA,0,39,1,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,4,MT Melsungen,45ce1dee-3953-11ef-98d8-855e48b08f9c,Julius Kühn,1:42,Technischer Fehler (Ball),technicalFault,ballFault,1,THW Kiel,0,MT Melsungen,NA,NA,1,42,1,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,5,THW Kiel,52207156-3953-11ef-b760-a9530db97767,Raul Santos,1:53,Tor aus der Nahwurfzone,goal,sixMetre,2,THW Kiel,0,MT Melsungen,NA,NA,1,53,2,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,6,THW Kiel,521becab-3953-11ef-b5b5-a9530db97767,Niclas Ekberg,1:53,Assist,assist,NA,2,THW Kiel,0,MT Melsungen,NA,NA,1,53,2,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,7,MT Melsungen,5106de47-3953-11ef-a004-a9530db97767,Marino Maric,2:00,Fehlwurf aus der Nahwurfzone,goal,sixMetre,2,THW Kiel,0,MT Melsungen,NA,NA,2,0,2,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,8,THW Kiel,52130fd0-3953-11ef-ac8f-a9530db97767,Marko Vujin,2:54,Tor aus dem Rückraum,goal,nineMetre,3,THW Kiel,0,MT Melsungen,NA,NA,2,54,3,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,9,MT Melsungen,50e0f0ea-3953-11ef-a6e8-a9530db97767,Michael Müller,3:01,Gelbe Karte,yellowCard,NA,3,THW Kiel,0,MT Melsungen,NA,NA,3,1,2,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,10,MT Melsungen,5106de47-3953-11ef-a004-a9530db97767,Marino Maric,3:33,Tor aus der Nahwurfzone,goal,sixMetre,3,THW Kiel,1,MT Melsungen,NA,NA,3,33,3,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,11,MT Melsungen,50e0f0ea-3953-11ef-a6e8-a9530db97767,Michael Müller,3:33,Assist,assist,NA,3,THW Kiel,1,MT Melsungen,NA,NA,3,33,3,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,12,THW Kiel,5242f6de-3953-11ef-98f3-a9530db97767,Nikola Bilyk,3:37,Gelbe Karte,yellowCard,NA,3,THW Kiel,1,MT Melsungen,NA,NA,3,37,3,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,13,THW Kiel,520ac6e2-3953-11ef-8de8-a9530db97767,Patrick Wiencek,4:13,Tor aus der Nahwurfzone,goal,sixMetre,4,THW Kiel,1,MT Melsungen,NA,NA,4,13,4,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,14,THW Kiel,52130fd0-3953-11ef-ac8f-a9530db97767,Marko Vujin,4:13,Assist,assist,NA,4,THW Kiel,1,MT Melsungen,NA,NA,4,13,4,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,15,MT Melsungen,45ce1dee-3953-11ef-98d8-855e48b08f9c,Julius Kühn,4:56,Tor aus dem Rückraum,goal,nineMetre,4,THW Kiel,2,MT Melsungen,NA,NA,4,56,4,0,0,6,6
2017,3/1/2018,05eaf0c4-395b-11ef-adf3-81dc40648355,1,16,MT Melsungen,45ce1dee-3953-11ef-98d8-855e48b08f9c,Julius Kühn,5:34,Gelbe Karte,yellowCard,NA,4,THW Kiel,2,MT Melsungen,NA,NA,5,34,4,0,0,6,6
