"Season","GameDate","TeamName","OpponentName","Score","GameId"
1967,1968-01-20,"TuS 1860 Neunkirchen","FRISCH AUF! Göppingen","11:14","c3f61c4a-3960-11ef-9ca9-d3de5c174a65"
1967,1968-02-18,"Polizei SV Hannover","GWD Minden","16:17","b93ecd10-3960-11ef-8f8a-2906cc9fb6bc"
1967,1967-11-03,"BSV Solingen 1898","VfL Gummersbach","8:23","b7d62eb6-3960-11ef-902b-2906cc9fb6bc"
1967,1968-02-23,"FRISCH AUF! Göppingen","S3L Handball","10:13","c256bccb-3960-11ef-a54f-d3de5c174a65"
1967,1968-03-10,"Berliner SV 1892","TV Hochdorf","10:17","c1b19111-3960-11ef-b2e2-d3de5c174a65"
1967,1967-11-04,"TuS 1860 Neunkirchen","TV Hochdorf","15:13","c10ca8bd-3960-11ef-bf72-d3de5c174a65"
1967,1968-01-19,"TSV Birkenau","TV Hochdorf","22:16","c1666a05-3960-11ef-86ce-d3de5c174a65"
1967,1968-02-10,"THW Kiel","TuS 05 Wellinghofen","6:4","c01c1d44-3960-11ef-ab92-d3de5c174a65"
1967,1968-03-16,"Hamburger SV","GWD Minden","11:11","b95a1daf-3960-11ef-bcb5-2906cc9fb6bc"
1967,1967-12-02,"TuS 1860 Neunkirchen","Berliner SV 1892","14:16","c3e7c82a-3960-11ef-91d9-d3de5c174a65"
1967,1968-03-16,"SpVgg 1887 Möhringen","TuS 1860 Neunkirchen","18:17","c42a74c8-3960-11ef-9fe5-d3de5c174a65"
1967,1967-11-11,"TSV Birkenau","TuS 1860 Neunkirchen","12:12","c28b706d-3960-11ef-acee-d3de5c174a65"
1967,1967-10-21,"GWD Minden","BSV Solingen 1898","24:11","b8aeef40-3960-11ef-94a5-2906cc9fb6bc"
1967,1968-03-16,"THW Kiel","VfL Lübeck-Schwartau","17:15","c0c07523-3960-11ef-a06a-d3de5c174a65"
1967,1967-10-14,"Berliner SV 1892","FRISCH AUF! Göppingen","13:22","c46d65f6-3960-11ef-a6ba-d3de5c174a65"
1967,1967-12-06,"Polizei SV Hannover","VfL Gummersbach","19:25","b809bf09-3960-11ef-9a11-2906cc9fb6bc"
1967,1967-12-29,"TuS 05 Wellinghofen","BSV Solingen 1898","18:15","c0021078-3960-11ef-a39b-d3de5c174a65"
