GameDay,Season,Game Date,Home,Away,Home Score,Away Score,Notes
1,1993,19.09.1992,TuS Walle Bremen,Buxtehuder SV,20,18,
1,1993,19.09.1992,Berliner TSC,VfL Sindelfingen,23,28,
1,1993,19.09.1992,TV Lützellinden,SC Leipzig,26,19,
1,1993,19.09.1992,TSV Bayer 04 Leverkusen,TV 05 Mainzlar,20,20,
1,1993,19.09.1992,SC Magdeburg,BFV Frankfurt/Oder,14,15,
1,1993,19.09.1992,TuS Eintracht Minden,VfL Oldenburg,22,17,
1,1993,19.09.1992,PSV Grünweiß Frankfurt,DJK SC SW Wiesbaden,22,22,ohne Wertung
2,1993,26.09.1992,SC Leipzig,TuS Walle Bremen,18,22,
2,1993,26.09.1992,VfL Sindelfingen,SC Magdeburg,20,19,
2,1993,26.09.1992,DJK SC SW Wiesbaden,Berliner TSC,24,13,
2,1993,26.09.1992,Buxtehuder SV,TuS Eintracht Minden,23,18,
2,1993,26.09.1992,VfL Oldenburg,TSV Bayer 04 Leverkusen,19,37,
2,1993,26.09.1992,TV 05 Mainzlar,PSV Grünweiß Frankfurt,20,17,ohne Wertung
2,1993,17.10.1992,BFV Frankfurt/Oder,TV Lützellinden,21,23,
3,1993,30.09.1992,SC Magdeburg,DJK SC SW Wiesbaden,21,16,
3,1993,30.09.1992,TV Lützellinden,VfL Sindelfingen,25,15,
3,1993,30.09.1992,TSV Bayer 04 Leverkusen,Buxtehuder SV,23,18,
3,1993,30.09.1992,TuS Eintracht Minden,SC Leipzig,22,23,
3,1993,30.09.1992,TuS Walle Bremen,BFV Frankfurt/Oder,20,13,
3,1993,30.09.1992,VfL Oldenburg,TV 05 Mainzlar,17,14,
3,1993,30.09.1992,Berliner TSC,PSV Grünweiß Frankfurt,23,20,ohne Wertung
4,1993,03.10.1992,VfL Sindelfingen,TuS Walle Bremen,21,26,
4,1993,03.10.1992,TV 05 Mainzlar,Berliner TSC,26,19,
4,1993,03.10.1992,DJK SC SW Wiesbaden,TV Lützellinden,14,16,
4,1993,03.10.1992,Buxtehuder SV,VfL Oldenburg,30,19,
4,1993,03.10.1992,SC Leipzig,TSV Bayer 04 Leverkusen,20,19,
4,1993,03.10.1992,PSV Grünweiß Frankfurt,SC Magdeburg,23,24,ohne Wertung
4,1993,19.12.1992,BFV Frankfurt/Oder,TuS Eintracht Minden,18,12,
5,1993,07.10.1992,SC Magdeburg,Berliner TSC,17,13,
5,1993,07.10.1992,VfL Oldenburg,SC Leipzig,16,21,
5,1993,07.10.1992,TuS Walle Bremen,DJK SC SW Wiesbaden,17,14,
5,1993,07.10.1992,TuS Eintracht Minden,VfL Sindelfingen,15,15,
5,1993,07.10.1992,Buxtehuder SV,TV 05 Mainzlar,27,22,
5,1993,07.10.1992,TV Lützellinden,PSV Grünweiß Frankfurt,34,16,ohne Wertung
6,1993,10.10.1992,SC Leipzig,Buxtehuder SV,23,21,
6,1993,10.10.1992,BFV Frankfurt/Oder,VfL Oldenburg,24,19,
6,1993,10.10.1992,TV 05 Mainzlar,SC Magdeburg,30,22,
6,1993,10.10.1992,VfL Sindelfingen,TSV Bayer 04 Leverkusen,22,27,
6,1993,10.10.1992,Berliner TSC,TV Lützellinden,10,19,
6,1993,10.10.1992,DJK SC SW Wiesbaden,TuS Eintracht Minden,17,17,
6,1993,10.10.1992,PSV Grünweiß Frankfurt,TuS Walle Bremen,20,23,ohne Wertung
7,1993,31.10.1992,TuS Walle Bremen,Berliner TSC,28,13,
7,1993,31.10.1992,VfL Oldenburg,VfL Sindelfingen,22,23,
7,1993,31.10.1992,SC Leipzig,TV 05 Mainzlar,19,18,
7,1993,31.10.1992,TSV Bayer 04 Leverkusen,DJK SC SW Wiesbaden,21,21,
7,1993,31.10.1992,TV Lützellinden,SC Magdeburg,33,24,
7,1993,31.10.1992,Buxtehuder SV,BFV Frankfurt/Oder,19,18,
7,1993,31.10.1992,TuS Eintracht Minden,PSV Grünweiß Frankfurt,17,14,ohne Wertung
8,1993,04.11.1992,BFV Frankfurt/Oder,SC Leipzig,25,15,
8,1993,04.11.1992,SC Magdeburg,TuS Walle Bremen,17,30,
8,1993,04.11.1992,Berliner TSC,TuS Eintracht Minden,18,16,
8,1993,04.11.1992,VfL Sindelfingen,Buxtehuder SV,17,26,
8,1993,04.11.1992,TV Lützellinden,TV 05 Mainzlar,22,22,
8,1993,04.11.1992,DJK SC SW Wiesbaden,VfL Oldenburg,16,13,
8,1993,04.11.1992,PSV Grünweiß Frankfurt,TSV Bayer 04 Leverkusen,22,26,ohne Wertung
9,1993,07.11.1992,TuS Walle Bremen,TV Lützellinden,18,23,
9,1993,07.11.1992,SC Leipzig,VfL Sindelfingen,20,19,
9,1993,07.11.1992,Buxtehuder SV,DJK SC SW Wiesbaden,32,19,
9,1993,07.11.1992,TSV Bayer 04 Leverkusen,Berliner TSC,33,16,
9,1993,07.11.1992,TuS Eintracht Minden,SC Magdeburg,11,20,
9,1993,07.11.1992,TV 05 Mainzlar,BFV Frankfurt/Oder,26,23,
9,1993,07.11.1992,VfL Oldenburg,PSV Grünweiß Frankfurt,20,19,ohne Wertung
10,1993,14.11.1992,TuS Walle Bremen,TV 05 Mainzlar,24,16,
10,1993,14.11.1992,SC Magdeburg,TSV Bayer 04 Leverkusen,21,20,
10,1993,14.11.1992,TV Lützellinden,TuS Eintracht Minden,24,19,
10,1993,14.11.1992,VfL Sindelfingen,BFV Frankfurt/Oder,23,20,
10,1993,14.11.1992,DJK SC SW Wiesbaden,SC Leipzig,22,20,
10,1993,14.11.1992,Berliner TSC,VfL Oldenburg,24,21,
10,1993,14.11.1992,PSV Grünweiß Frankfurt,Buxtehuder SV,23,29,ohne Wertung
11,1993,18.11.1992,Buxtehuder SV,Berliner TSC,26,17,
11,1993,18.11.1992,BFV Frankfurt/Oder,DJK SC SW Wiesbaden,26,11,
11,1993,18.11.1992,VfL Oldenburg,SC Magdeburg,21,26,
11,1993,18.11.1992,TV 05 Mainzlar,VfL Sindelfingen,27,20,
11,1993,18.11.1992,TSV Bayer 04 Leverkusen,TV Lützellinden,16,19,
11,1993,18.11.1992,TuS Eintracht Minden,TuS Walle Bremen,12,20,
12,1993,21.11.1992,SC Magdeburg,Buxtehuder SV,18,17,
12,1993,21.11.1992,TuS Walle Bremen,TSV Bayer 04 Leverkusen,16,15,
12,1993,21.11.1992,TV Lützellinden,VfL Oldenburg,30,16,
12,1993,21.11.1992,DJK SC SW Wiesbaden,VfL Sindelfingen,11,23,
12,1993,29.11.1992,TuS Eintracht Minden,TV 05 Mainzlar,16,15,
12,1993,20.01.1993,Berliner TSC,SC Leipzig,20,20,
13,1993,05.12.1992,SC Leipzig,SC Magdeburg,24,19,
13,1993,05.12.1992,VfL Oldenburg,TuS Walle Bremen,14,20,
13,1993,05.12.1992,TSV Bayer 04 Leverkusen,TuS Eintracht Minden,26,13,
13,1993,05.12.1992,Buxtehuder SV,TV Lützellinden,24,29,
13,1993,05.12.1992,TV 05 Mainzlar,DJK SC SW Wiesbaden,27,15,
13,1993,05.12.1992,BFV Frankfurt/Oder,Berliner TSC,19,12,
14,1993,12.12.1992,Buxtehuder SV,TuS Walle Bremen,17,16,
14,1993,12.12.1992,VfL Sindelfingen,Berliner TSC,29,18,
14,1993,12.12.1992,SC Leipzig,TV Lützellinden,20,23,
14,1993,12.12.1992,TV 05 Mainzlar,TSV Bayer 04 Leverkusen,17,22,
14,1993,12.12.1992,BFV Frankfurt/Oder,SC Magdeburg,24,13,
14,1993,12.12.1992,VfL Oldenburg,TuS Eintracht Minden,19,18,
15,1993,09.01.1993,Berliner TSC,DJK SC SW Wiesbaden,20,23,
15,1993,16.01.1993,SC Magdeburg,VfL Sindelfingen,23,18,
15,1993,16.01.1993,TuS Eintracht Minden,Buxtehuder SV,20,30,
15,1993,16.01.1993,TSV Bayer 04 Leverkusen,VfL Oldenburg,33,11,
15,1993,20.01.1993,TV Lützellinden,BFV Frankfurt/Oder,29,18,
15,1993,06.03.1993,TuS Walle Bremen,SC Leipzig,21,20,
16,1993,23.01.1993,DJK SC SW Wiesbaden,SC Magdeburg,15,16,
16,1993,23.01.1993,VfL Sindelfingen,TV Lützellinden,21,22,
16,1993,23.01.1993,Buxtehuder SV,TSV Bayer 04 Leverkusen,22,22,
16,1993,23.01.1993,BFV Frankfurt/Oder,TuS Walle Bremen,14,19,
16,1993,10.03.1993,TV 05 Mainzlar,VfL Oldenburg,27,15,D! (vor 29.03.)
16,1993,24.03.1993,SC Leipzig,TuS Eintracht Minden,23,13,
17,1993,10.02.1993,TuS Walle Bremen,VfL Sindelfingen,21,19,
17,1993,10.02.1993,Berliner TSC,TV 05 Mainzlar,19,18,
17,1993,10.02.1993,TV Lützellinden,DJK SC SW Wiesbaden,29,12,
17,1993,10.02.1993,VfL Oldenburg,Buxtehuder SV,17,22,
17,1993,10.02.1993,TSV Bayer 04 Leverkusen,SC Leipzig,20,23,
17,1993,10.02.1993,TuS Eintracht Minden,BFV Frankfurt/Oder,18,18,
18,1993,13.02.1993,Berliner TSC,SC Magdeburg,14,18,
18,1993,13.02.1993,SC Leipzig,VfL Oldenburg,22,16,
18,1993,13.02.1993,DJK SC SW Wiesbaden,TuS Walle Bremen,18,23,
18,1993,13.02.1993,VfL Sindelfingen,TuS Eintracht Minden,18,21,
18,1993,13.02.1993,TV 05 Mainzlar,Buxtehuder SV,18,24,
18,1993,13.02.1993,BFV Frankfurt/Oder,TSV Bayer 04 Leverkusen,20,20,
19,1993,27.02.1993,TSV Bayer 04 Leverkusen,VfL Sindelfingen,26,17,
19,1993,27.02.1993,TuS Eintracht Minden,DJK SC SW Wiesbaden,23,20,
19,1993,06.03.1993,VfL Oldenburg,BFV Frankfurt/Oder,14,18,
19,1993,10.03.1993,TV Lützellinden,Berliner TSC,28,12,D! (vor 29.03.)
19,1993,13.03.1993,SC Magdeburg,TV 05 Mainzlar,18,23,
19,1993,14.04.1993,Buxtehuder SV,SC Leipzig,17,21,D!
20,1993,20.03.1993,Berliner TSC,TuS Walle Bremen,16,23,
20,1993,20.03.1993,VfL Sindelfingen,VfL Oldenburg,28,23,
20,1993,20.03.1993,TV 05 Mainzlar,SC Leipzig,22,23,
20,1993,20.03.1993,DJK SC SW Wiesbaden,TSV Bayer 04 Leverkusen,19,25,
20,1993,20.03.1993,SC Magdeburg,TV Lützellinden,22,22,
20,1993,20.03.1993,BFV Frankfurt/Oder,Buxtehuder SV,20,17,
21,1993,27.03.1993,SC Leipzig,BFV Frankfurt/Oder,22,20,
21,1993,27.03.1993,TuS Walle Bremen,SC Magdeburg,25,19,
21,1993,27.03.1993,TuS Eintracht Minden,Berliner TSC,23,19,
21,1993,27.03.1993,Buxtehuder SV,VfL Sindelfingen,20,19,
21,1993,27.03.1993,TV 05 Mainzlar,TV Lützellinden,20,22,
21,1993,27.03.1993,VfL Oldenburg,DJK SC SW Wiesbaden,20,20,
22,1993,24.03.1993,TV Lützellinden,TuS Walle Bremen,19,18,
22,1993,03.04.1993,DJK SC SW Wiesbaden,Buxtehuder SV,16,23,
22,1993,03.04.1993,Berliner TSC,TSV Bayer 04 Leverkusen,22,25,
22,1993,03.04.1993,SC Magdeburg,TuS Eintracht Minden,19,16,
22,1993,03.04.1993,BFV Frankfurt/Oder,TV 05 Mainzlar,24,20,
22,1993,06.04.1993,VfL Sindelfingen,SC Leipzig,16,28,
23,1993,17.04.1993,TV 05 Mainzlar,TuS Walle Bremen,20,25,
23,1993,17.04.1993,TSV Bayer 04 Leverkusen,SC Magdeburg,25,19,
23,1993,17.04.1993,TuS Eintracht Minden,TV Lützellinden,13,27,
23,1993,17.04.1993,BFV Frankfurt/Oder,VfL Sindelfingen,20,17,
23,1993,17.04.1993,SC Leipzig,DJK SC SW Wiesbaden,26,21,
23,1993,17.04.1993,VfL Oldenburg,Berliner TSC,16,20,
24,1993,21.04.1993,Berliner TSC,Buxtehuder SV,15,25,
24,1993,21.04.1993,DJK SC SW Wiesbaden,BFV Frankfurt/Oder,22,25,
24,1993,21.04.1993,SC Magdeburg,VfL Oldenburg,30,21,
24,1993,21.04.1993,VfL Sindelfingen,TV 05 Mainzlar,21,22,
24,1993,21.04.1993,TV Lützellinden,TSV Bayer 04 Leverkusen,34,23,
24,1993,21.04.1993,TuS Walle Bremen,TuS Eintracht Minden,25,12,
25,1993,24.04.1993,Buxtehuder SV,SC Magdeburg,23,17,
25,1993,24.04.1993,TSV Bayer 04 Leverkusen,TuS Walle Bremen,19,20,
25,1993,24.04.1993,VfL Oldenburg,TV Lützellinden,22,27,
25,1993,24.04.1993,VfL Sindelfingen,DJK SC SW Wiesbaden,21,22,
25,1993,24.04.1993,TV 05 Mainzlar,TuS Eintracht Minden,19,20,
25,1993,24.04.1993,SC Leipzig,Berliner TSC,24,21,
26,1993,01.05.1993,SC Magdeburg,SC Leipzig,19,19,
26,1993,01.05.1993,TuS Walle Bremen,VfL Oldenburg,26,14,
26,1993,01.05.1993,TuS Eintracht Minden,TSV Bayer 04 Leverkusen,24,25,
26,1993,01.05.1993,TV Lützellinden,Buxtehuder SV,23,21,
26,1993,01.05.1993,DJK SC SW Wiesbaden,TV 05 Mainzlar,17,19,
26,1993,01.05.1993,Berliner TSC,BFV Frankfurt/Oder,24,23,
1,1994,22.09.1993,VfB Leipzig,TV Lützellinden,21,19,
1,1994,25.09.1993,Buxtehuder SV,Berliner TSC,17,17,
1,1994,25.09.1993,TuS Eintracht Minden,TV 05 Mainzlar,19,23,
1,1994,25.09.1993,TuS Walle Bremen,TSG Wismar,31,18,
1,1994,25.09.1993,SC Magdeburg,BFV Frankfurt/Oder,17,16,
1,1994,25.09.1993,TSV Bayer 04 Leverkusen,DJK Würzburg,19,19,
1,1994,01.11.1993,BV Borussia 09 Dortmund,VfL Sindelfingen,28,25,
2,1994,02.10.1993,TV 05 Mainzlar,TSV Bayer 04 Leverkusen,25,18,
2,1994,02.10.1993,Berliner TSC,BV Borussia 09 Dortmund,18,22,
2,1994,02.10.1993,TSG Wismar,TuS Eintracht Minden,18,19,
2,1994,02.10.1993,VfL Sindelfingen,SC Magdeburg,23,24,
2,1994,02.10.1993,DJK Würzburg,Buxtehuder SV,11,24,
2,1994,20.10.1993,BFV Frankfurt/Oder,VfB Leipzig,18,23,
2,1994,17.11.1993,TV Lützellinden,TuS Walle Bremen,22,16,
3,1994,06.10.1993,BV Borussia 09 Dortmund,Buxtehuder SV,18,20,
3,1994,06.10.1993,TSV Bayer 04 Leverkusen,TSG Wismar,17,19,
3,1994,06.10.1993,SC Magdeburg,Berliner TSC,24,20,
3,1994,06.10.1993,TuS Eintracht Minden,TV Lützellinden,20,22,
3,1994,06.10.1993,VfB Leipzig,VfL Sindelfingen,23,18,
3,1994,06.10.1993,TuS Walle Bremen,BFV Frankfurt/Oder,23,14,
3,1994,06.10.1993,TV 05 Mainzlar,DJK Würzburg,27,20,
4,1994,10.10.1993,TSG Wismar,TV 05 Mainzlar,14,18,
4,1994,10.10.1993,Buxtehuder SV,SC Magdeburg,26,18,
4,1994,10.10.1993,TV Lützellinden,TSV Bayer 04 Leverkusen,28,18,
4,1994,10.10.1993,Berliner TSC,VfB Leipzig,20,19,
4,1994,10.10.1993,BFV Frankfurt/Oder,TuS Eintracht Minden,24,15,
4,1994,10.10.1993,VfL Sindelfingen,TuS Walle Bremen,17,22,
4,1994,10.10.1993,DJK Würzburg,BV Borussia 09 Dortmund,17,17,
5,1994,24.10.1993,SC Magdeburg,BV Borussia 09 Dortmund,19,18,
5,1994,24.10.1993,TV 05 Mainzlar,TV Lützellinden,19,21,
5,1994,24.10.1993,VfB Leipzig,Buxtehuder SV,18,24,
5,1994,24.10.1993,TSV Bayer 04 Leverkusen,BFV Frankfurt/Oder,27,21,
5,1994,24.10.1993,TuS Walle Bremen,Berliner TSC,27,17,
5,1994,24.10.1993,TuS Eintracht Minden,VfL Sindelfingen,22,21,
5,1994,24.10.1993,TSG Wismar,DJK Würzburg,23,18,
6,1994,27.10.1993,Buxtehuder SV,TuS Walle Bremen,16,18,
6,1994,30.10.1993,TV Lützellinden,TSG Wismar,28,18,
6,1994,30.10.1993,BV Borussia 09 Dortmund,VfB Leipzig,26,20,
6,1994,30.10.1993,BFV Frankfurt/Oder,TV 05 Mainzlar,18,17,
6,1994,30.10.1993,VfL Sindelfingen,TSV Bayer 04 Leverkusen,20,17,
6,1994,30.10.1993,Berliner TSC,TuS Eintracht Minden,20,20,
6,1994,30.10.1993,DJK Würzburg,SC Magdeburg,13,14,
7,1994,07.11.1993,VfB Leipzig,SC Magdeburg,23,18,
7,1994,07.11.1993,TSG Wismar,BFV Frankfurt/Oder,19,23,
7,1994,07.11.1993,TV 05 Mainzlar,VfL Sindelfingen,21,15,
7,1994,07.11.1993,TSV Bayer 04 Leverkusen,Berliner TSC,19,15,
7,1994,15.12.1993,TuS Walle Bremen,BV Borussia 09 Dortmund,23,19,
7,1994,15.12.1993,TuS Eintracht Minden,Buxtehuder SV,17,21,nach 18.12.
7,1994,15.12.1993,TV Lützellinden,DJK Würzburg,27,10,zw 20.11./18.12.
8,1994,20.11.1993,BFV Frankfurt/Oder,TV Lützellinden,20,19,
8,1994,20.11.1993,SC Magdeburg,TuS Walle Bremen,17,22,
8,1994,20.11.1993,VfL Sindelfingen,TSG Wismar,24,19,
8,1994,20.11.1993,BV Borussia 09 Dortmund,TuS Eintracht Minden,15,15,
8,1994,20.11.1993,Berliner TSC,TV 05 Mainzlar,17,22,
8,1994,20.11.1993,Buxtehuder SV,TSV Bayer 04 Leverkusen,22,18,
8,1994,20.11.1993,VfB Leipzig,DJK Würzburg,23,19,
9,1994,18.12.1993,TuS Walle Bremen,VfB Leipzig,26,22,
9,1994,18.12.1993,TV Lützellinden,VfL Sindelfingen,29,18,
9,1994,18.12.1993,TuS Eintracht Minden,SC Magdeburg,21,17,vermutlich vor 18.12.
9,1994,18.12.1993,TSG Wismar,Berliner TSC,24,23,
9,1994,18.12.1993,TSV Bayer 04 Leverkusen,BV Borussia 09 Dortmund,19,29,
9,1994,18.12.1993,TV 05 Mainzlar,Buxtehuder SV,24,24,
9,1994,18.12.1993,DJK Würzburg,BFV Frankfurt/Oder,20,25,
10,1994,09.01.1994,VfL Sindelfingen,BFV Frankfurt/Oder,24,18,
10,1994,09.01.1994,VfB Leipzig,TuS Eintracht Minden,16,15,
10,1994,09.01.1994,Berliner TSC,TV Lützellinden,17,19,
10,1994,09.01.1994,SC Magdeburg,TSV Bayer 04 Leverkusen,27,19,
10,1994,09.01.1994,Buxtehuder SV,TSG Wismar,25,21,
10,1994,09.01.1994,BV Borussia 09 Dortmund,TV 05 Mainzlar,21,25,
10,1994,09.01.1994,TuS Walle Bremen,DJK Würzburg,26,10,
11,1994,16.01.1994,TuS Eintracht Minden,TuS Walle Bremen,18,23,
11,1994,16.01.1994,BFV Frankfurt/Oder,Berliner TSC,19,17,
11,1994,16.01.1994,TSV Bayer 04 Leverkusen,VfB Leipzig,20,23,
11,1994,16.01.1994,TV Lützellinden,Buxtehuder SV,22,21,
11,1994,16.01.1994,TV 05 Mainzlar,SC Magdeburg,26,28,
11,1994,16.01.1994,TSG Wismar,BV Borussia 09 Dortmund,24,30,
11,1994,16.01.1994,DJK Würzburg,VfL Sindelfingen,17,14,
12,1994,17.11.1993,Berliner TSC,VfL Sindelfingen,23,18,
12,1994,19.01.1994,TuS Walle Bremen,TSV Bayer 04 Leverkusen,26,21,
12,1994,19.01.1994,Buxtehuder SV,BFV Frankfurt/Oder,26,20,
12,1994,19.01.1994,VfB Leipzig,TV 05 Mainzlar,24,18,
12,1994,19.01.1994,BV Borussia 09 Dortmund,TV Lützellinden,28,21,
12,1994,19.01.1994,SC Magdeburg,TSG Wismar,20,19,
12,1994,19.01.1994,TuS Eintracht Minden,DJK Würzburg,21,16,
13,1994,22.01.1994,TSV Bayer 04 Leverkusen,TuS Eintracht Minden,22,21,
13,1994,22.01.1994,VfL Sindelfingen,Buxtehuder SV,23,27,
13,1994,22.01.1994,TV 05 Mainzlar,TuS Walle Bremen,25,26,
13,1994,22.01.1994,BFV Frankfurt/Oder,BV Borussia 09 Dortmund,21,21,
13,1994,22.01.1994,TSG Wismar,VfB Leipzig,17,17,
13,1994,22.01.1994,TV Lützellinden,SC Magdeburg,29,18,
13,1994,22.01.1994,DJK Würzburg,Berliner TSC,18,17,
14,1994,29.01.1994,Berliner TSC,Buxtehuder SV,16,27,
14,1994,29.01.1994,TV 05 Mainzlar,TuS Eintracht Minden,19,18,
14,1994,29.01.1994,VfL Sindelfingen,BV Borussia 09 Dortmund,22,25,
14,1994,29.01.1994,TSG Wismar,TuS Walle Bremen,18,25,
14,1994,29.01.1994,BFV Frankfurt/Oder,SC Magdeburg,20,18,
14,1994,29.01.1994,TV Lützellinden,VfB Leipzig,30,18,
14,1994,29.01.1994,DJK Würzburg,TSV Bayer 04 Leverkusen,19,17,
15,1994,12.02.1994,TSV Bayer 04 Leverkusen,TV 05 Mainzlar,23,20,
15,1994,12.02.1994,BV Borussia 09 Dortmund,Berliner TSC,22,18,
15,1994,12.02.1994,TuS Eintracht Minden,TSG Wismar,25,23,
15,1994,12.02.1994,SC Magdeburg,VfL Sindelfingen,23,16,
15,1994,12.02.1994,TuS Walle Bremen,TV Lützellinden,22,19,
15,1994,12.02.1994,VfB Leipzig,BFV Frankfurt/Oder,28,20,
15,1994,12.02.1994,Buxtehuder SV,DJK Würzburg,26,19,
16,1994,26.02.1994,Buxtehuder SV,BV Borussia 09 Dortmund,27,20,
16,1994,26.02.1994,TSG Wismar,TSV Bayer 04 Leverkusen,14,15,
16,1994,26.02.1994,Berliner TSC,SC Magdeburg,18,16,
16,1994,26.02.1994,TV Lützellinden,TuS Eintracht Minden,26,20,
16,1994,26.02.1994,VfL Sindelfingen,VfB Leipzig,18,24,
16,1994,26.02.1994,BFV Frankfurt/Oder,TuS Walle Bremen,19,25,
16,1994,26.02.1994,DJK Würzburg,TV 05 Mainzlar,24,21,
17,1994,05.03.1994,TV 05 Mainzlar,TSG Wismar,29,19,
17,1994,05.03.1994,SC Magdeburg,Buxtehuder SV,20,21,
17,1994,05.03.1994,TSV Bayer 04 Leverkusen,TV Lützellinden,20,27,
17,1994,05.03.1994,VfB Leipzig,Berliner TSC,28,15,
17,1994,05.03.1994,TuS Eintracht Minden,BFV Frankfurt/Oder,24,15,
17,1994,05.03.1994,TuS Walle Bremen,VfL Sindelfingen,27,13,
17,1994,05.03.1994,BV Borussia 09 Dortmund,DJK Würzburg,29,22,
18,1994,19.03.1994,BV Borussia 09 Dortmund,SC Magdeburg,27,27,
18,1994,19.03.1994,TV Lützellinden,TV 05 Mainzlar,22,21,
18,1994,19.03.1994,Buxtehuder SV,VfB Leipzig,32,19,
18,1994,19.03.1994,BFV Frankfurt/Oder,TSV Bayer 04 Leverkusen,19,15,
18,1994,19.03.1994,Berliner TSC,TuS Walle Bremen,25,30,
18,1994,19.03.1994,VfL Sindelfingen,TuS Eintracht Minden,22,28,
18,1994,19.03.1994,DJK Würzburg,TSG Wismar,17,17,
19,1994,23.03.1994,TSG Wismar,TV Lützellinden,18,27,
19,1994,23.03.1994,VfB Leipzig,BV Borussia 09 Dortmund,24,22,
19,1994,23.03.1994,TV 05 Mainzlar,BFV Frankfurt/Oder,24,16,
19,1994,23.03.1994,TuS Walle Bremen,Buxtehuder SV,27,26,
19,1994,23.03.1994,TSV Bayer 04 Leverkusen,VfL Sindelfingen,30,14,
19,1994,23.03.1994,TuS Eintracht Minden,Berliner TSC,17,16,
19,1994,23.03.1994,SC Magdeburg,DJK Würzburg,16,15,
20,1994,26.03.1994,SC Magdeburg,VfB Leipzig,16,25,
20,1994,26.03.1994,BFV Frankfurt/Oder,TSG Wismar,21,21,
20,1994,26.03.1994,BV Borussia 09 Dortmund,TuS Walle Bremen,28,31,
20,1994,26.03.1994,VfL Sindelfingen,TV 05 Mainzlar,25,32,
20,1994,26.03.1994,Buxtehuder SV,TuS Eintracht Minden,31,18,
20,1994,26.03.1994,Berliner TSC,TSV Bayer 04 Leverkusen,19,18,
20,1994,26.03.1994,DJK Würzburg,TV Lützellinden,20,28,
21,1994,31.03.1994,TV Lützellinden,BFV Frankfurt/Oder,26,21,
21,1994,31.03.1994,TuS Walle Bremen,SC Magdeburg,28,16,
21,1994,31.03.1994,TSG Wismar,VfL Sindelfingen,19,21,
21,1994,31.03.1994,TuS Eintracht Minden,BV Borussia 09 Dortmund,17,23,
21,1994,31.03.1994,TV 05 Mainzlar,Berliner TSC,29,20,
21,1994,31.03.1994,TSV Bayer 04 Leverkusen,Buxtehuder SV,28,24,
21,1994,31.03.1994,DJK Würzburg,VfB Leipzig,23,23,
22,1994,09.04.1994,VfB Leipzig,TuS Walle Bremen,20,27,
22,1994,09.04.1994,VfL Sindelfingen,TV Lützellinden,26,34,
22,1994,09.04.1994,SC Magdeburg,TuS Eintracht Minden,20,19,
22,1994,09.04.1994,Berliner TSC,TSG Wismar,22,25,
22,1994,09.04.1994,BV Borussia 09 Dortmund,TSV Bayer 04 Leverkusen,31,24,
22,1994,09.04.1994,Buxtehuder SV,TV 05 Mainzlar,24,25,
22,1994,09.04.1994,BFV Frankfurt/Oder,DJK Würzburg,28,20,
23,1994,16.04.1994,BFV Frankfurt/Oder,VfL Sindelfingen,25,20,
23,1994,16.04.1994,TuS Eintracht Minden,VfB Leipzig,22,19,
23,1994,16.04.1994,TV Lützellinden,Berliner TSC,22,20,
23,1994,16.04.1994,TSV Bayer 04 Leverkusen,SC Magdeburg,26,15,
23,1994,16.04.1994,TSG Wismar,Buxtehuder SV,20,23,
23,1994,16.04.1994,TV 05 Mainzlar,BV Borussia 09 Dortmund,20,18,
23,1994,16.04.1994,DJK Würzburg,TuS Walle Bremen,16,22,
24,1994,23.04.1994,TuS Walle Bremen,TuS Eintracht Minden,25,19,
24,1994,23.04.1994,Berliner TSC,BFV Frankfurt/Oder,18,23,
24,1994,23.04.1994,VfB Leipzig,TSV Bayer 04 Leverkusen,25,20,
24,1994,23.04.1994,Buxtehuder SV,TV Lützellinden,26,25,
24,1994,23.04.1994,SC Magdeburg,TV 05 Mainzlar,20,19,
24,1994,23.04.1994,BV Borussia 09 Dortmund,TSG Wismar,31,18,
24,1994,23.04.1994,VfL Sindelfingen,DJK Würzburg,24,23,
25,1994,27.04.1994,VfL Sindelfingen,Berliner TSC,23,21,
25,1994,27.04.1994,TSV Bayer 04 Leverkusen,TuS Walle Bremen,25,25,
25,1994,27.04.1994,BFV Frankfurt/Oder,Buxtehuder SV,19,21,
25,1994,27.04.1994,TV 05 Mainzlar,VfB Leipzig,25,21,
25,1994,27.04.1994,TV Lützellinden,BV Borussia 09 Dortmund,30,24,
25,1994,27.04.1994,TSG Wismar,SC Magdeburg,19,19,
25,1994,27.04.1994,DJK Würzburg,TuS Eintracht Minden,22,22,
26,1994,30.04.1994,TuS Eintracht Minden,TSV Bayer 04 Leverkusen,23,19,
26,1994,30.04.1994,Buxtehuder SV,VfL Sindelfingen,28,24,
26,1994,30.04.1994,TuS Walle Bremen,TV 05 Mainzlar,28,22,
26,1994,30.04.1994,BV Borussia 09 Dortmund,BFV Frankfurt/Oder,22,26,
26,1994,30.04.1994,VfB Leipzig,TSG Wismar,25,20,
26,1994,30.04.1994,SC Magdeburg,TV Lützellinden,18,24,
26,1994,30.04.1994,Berliner TSC,DJK Würzburg,21,19,
1,1995,20.08.1994,DJK Würzburg,TuS Walle Bremen,15,30,
1,1995,20.08.1994,TSV Bayer 04 Leverkusen,Buxtehuder SV,20,20,
1,1995,20.08.1994,TuS Eintracht Minden,SC Magdeburg,25,16,
1,1995,20.08.1994,SG GM/BTSV 1850 Berlin,BV Borussia 09 Dortmund,20,20,
